description,category
"an sang",An uong
"cafe sang",An uong
"trua van phong",An uong
"luong thang 8",Luong
"thuong TET",Thuong
"tien nha thang 8",Nha o
"tien dien thang 8",Nha o
"tien nuoc",Nha o
"do xang xe may",Di chuyen
"grab di lam",Di chuyen
"gui xe",Di chuyen
"mua sam shopee",Mua sam
"sieu thi bigc",Mua sam
"tra no the tin dung",Tra no
"tra gop dien thoai",Tra no
"mua thuoc cam cum",Suc khoe
"kham benh dinh ky",Suc khoe
"hoc phi tieng anh",Giao duc
"mua sach giao khoa",Giao duc
"gui tiet kiem",Tiet kiem
"tien lai ngan hang",Lai tiet kiem
"cat toc",Lam dep
"mua my pham",Lam dep
"tu thien mien trung",Tu thien
"thuc an cho meo",Thu cung
"ban hang online",Kinh doanh
"dau tu chung khoan",Dau tu
"ve may bay da lat",Du lich
"khach san da lat",Du lich
"xem phim rap",Giai tri
"netflix thang 8",Giai tri
"sua xe may",Sua chua
"bao tri dieu hoa",Sua chua
"mua bao hiem y te",Bao hiem
"mua bao hiem nhan tho",Bao hiem
"thue thu nhap ca nhan",Thue
"rut tien mat atm",Tien mat
